Players:
Gergő (Random AI) 
Sándor (Simple AI) 

Results:
Sándor (Simple AI) won 471 games (47,1%)
Gergő (Random AI) won 529 games (52,9%)

Game 440: Winner: Sándor, Type: Simple AI
Game 441: Winner: Gergő, Type: Random AI
Game 442: Winner: Sándor, Type: Simple AI
Game 443: Winner: Sándor, Type: Simple AI
Game 444: Winner: Sándor, Type: Simple AI
Game 445: Winner: Sándor, Type: Simple AI
Game 446: Winner: Sándor, Type: Simple AI
Game 447: Winner: Gergő, Type: Random AI
Game 448: Winner: Gergő, Type: Random AI
Game 449: Winner: Gergő, Type: Random AI
Game 450: Winner: Sándor, Type: Simple AI
Game 451: Winner: Gergő, Type: Random AI
Game 452: Winner: Sándor, Type: Simple AI
Game 453: Winner: Sándor, Type: Simple AI
Game 454: Winner: Gergő, Type: Random AI
Game 455: Winner: Gergő, Type: Random AI
Game 456: Winner: Gergő, Type: Random AI
Game 457: Winner: Sándor, Type: Simple AI
Game 458: Winner: Gergő, Type: Random AI
Game 459: Winner: Gergő, Type: Random AI
Game 460: Winner: Gergő, Type: Random AI
Game 461: Winner: Sándor, Type: Simple AI
Game 462: Winner: Gergő, Type: Random AI
Game 463: Winner: Sándor, Type: Simple AI
Game 464: Winner: Gergő, Type: Random AI
Game 465: Winner: Gergő, Type: Random AI
Game 466: Winner: Gergő, Type: Random AI
Game 467: Winner: Sándor, Type: Simple AI
Game 468: Winner: Gergő, Type: Random AI
Game 469: Winner: Sándor, Type: Simple AI
Game 470: Winner: Gergő, Type: Random AI
Game 471: Winner: Gergő, Type: Random AI
Game 472: Winner: Sándor, Type: Simple AI
Game 473: Winner: Sándor, Type: Simple AI
Game 474: Winner: Sándor, Type: Simple AI
Game 475: Winner: Sándor, Type: Simple AI
Game 476: Winner: Gergő, Type: Random AI
Game 477: Winner: Gergő, Type: Random AI
Game 478: Winner: Gergő, Type: Random AI
Game 479: Winner: Gergő, Type: Random AI
Game 480: Winner: Sándor, Type: Simple AI
Game 481: Winner: Gergő, Type: Random AI
Game 482: Winner: Gergő, Type: Random AI
Game 483: Winner: Sándor, Type: Simple AI
Game 484: Winner: Gergő, Type: Random AI
Game 485: Winner: Sándor, Type: Simple AI
Game 486: Winner: Gergő, Type: Random AI
Game 487: Winner: Gergő, Type: Random AI
Game 488: Winner: Gergő, Type: Random AI
Game 489: Winner: Sándor, Type: Simple AI
Game 490: Winner: Gergő, Type: Random AI
Game 491: Winner: Sándor, Type: Simple AI
Game 492: Winner: Sándor, Type: Simple AI
Game 493: Winner: Sándor, Type: Simple AI
Game 494: Winner: Sándor, Type: Simple AI
Game 495: Winner: Gergő, Type: Random AI
Game 496: Winner: Sándor, Type: Simple AI
Game 497: Winner: Sándor, Type: Simple AI
Game 498: Winner: Gergő, Type: Random AI
Game 499: Winner: Sándor, Type: Simple AI
Game 500: Winner: Sándor, Type: Simple AI
Game 501: Winner: Gergő, Type: Random AI
Game 502: Winner: Gergő, Type: Random AI
Game 503: Winner: Sándor, Type: Simple AI
Game 504: Winner: Gergő, Type: Random AI
Game 505: Winner: Gergő, Type: Random AI
Game 506: Winner: Gergő, Type: Random AI
Game 507: Winner: Sándor, Type: Simple AI
Game 508: Winner: Sándor, Type: Simple AI
Game 509: Winner: Sándor, Type: Simple AI
Game 510: Winner: Gergő, Type: Random AI
Game 511: Winner: Gergő, Type: Random AI
Game 512: Winner: Sándor, Type: Simple AI
Game 513: Winner: Gergő, Type: Random AI
Game 514: Winner: Sándor, Type: Simple AI
Game 515: Winner: Sándor, Type: Simple AI
Game 516: Winner: Sándor, Type: Simple AI
Game 517: Winner: Gergő, Type: Random AI
Game 518: Winner: Sándor, Type: Simple AI
Game 519: Winner: Gergő, Type: Random AI
Game 520: Winner: Gergő, Type: Random AI
Game 521: Winner: Gergő, Type: Random AI
Game 522: Winner: Gergő, Type: Random AI
Game 523: Winner: Gergő, Type: Random AI
Game 524: Winner: Sándor, Type: Simple AI
Game 525: Winner: Sándor, Type: Simple AI
Game 526: Winner: Sándor, Type: Simple AI
Game 527: Winner: Gergő, Type: Random AI
Game 528: Winner: Gergő, Type: Random AI
Game 529: Winner: Gergő, Type: Random AI
Game 530: Winner: Gergő, Type: Random AI
Game 531: Winner: Sándor, Type: Simple AI
Game 532: Winner: Gergő, Type: Random AI
Game 533: Winner: Gergő, Type: Random AI
Game 534: Winner: Gergő, Type: Random AI
Game 535: Winner: Gergő, Type: Random AI
Game 536: Winner: Sándor, Type: Simple AI
Game 537: Winner: Gergő, Type: Random AI
Game 538: Winner: Gergő, Type: Random AI
Game 539: Winner: Gergő, Type: Random AI
Game 540: Winner: Gergő, Type: Random AI
Game 541: Winner: Sándor, Type: Simple AI
Game 542: Winner: Gergő, Type: Random AI
Game 543: Winner: Gergő, Type: Random AI
Game 544: Winner: Gergő, Type: Random AI
Game 545: Winner: Sándor, Type: Simple AI
Game 546: Winner: Sándor, Type: Simple AI
Game 547: Winner: Sándor, Type: Simple AI
Game 548: Winner: Sándor, Type: Simple AI
Game 549: Winner: Sándor, Type: Simple AI
Game 550: Winner: Sándor, Type: Simple AI
Game 551: Winner: Sándor, Type: Simple AI
Game 552: Winner: Sándor, Type: Simple AI
Game 553: Winner: Gergő, Type: Random AI
Game 554: Winner: Gergő, Type: Random AI
Game 555: Winner: Gergő, Type: Random AI
Game 556: Winner: Gergő, Type: Random AI
Game 557: Winner: Sándor, Type: Simple AI
Game 558: Winner: Sándor, Type: Simple AI
Game 559: Winner: Sándor, Type: Simple AI
Game 560: Winner: Gergő, Type: Random AI
Game 561: Winner: Gergő, Type: Random AI
Game 562: Winner: Sándor, Type: Simple AI
Game 563: Winner: Gergő, Type: Random AI
Game 564: Winner: Sándor, Type: Simple AI
Game 565: Winner: Gergő, Type: Random AI
Game 566: Winner: Gergő, Type: Random AI
Game 567: Winner: Sándor, Type: Simple AI
Game 568: Winner: Gergő, Type: Random AI
Game 569: Winner: Gergő, Type: Random AI
Game 570: Winner: Sándor, Type: Simple AI
Game 571: Winner: Sándor, Type: Simple AI
Game 572: Winner: Sándor, Type: Simple AI
Game 573: Winner: Gergő, Type: Random AI
Game 574: Winner: Sándor, Type: Simple AI
Game 575: Winner: Gergő, Type: Random AI
Game 576: Winner: Sándor, Type: Simple AI
Game 577: Winner: Gergő, Type: Random AI
Game 578: Winner: Gergő, Type: Random AI
Game 579: Winner: Gergő, Type: Random AI
Game 580: Winner: Gergő, Type: Random AI
Game 581: Winner: Sándor, Type: Simple AI
Game 582: Winner: Gergő, Type: Random AI
Game 583: Winner: Gergő, Type: Random AI
Game 584: Winner: Sándor, Type: Simple AI
Game 585: Winner: Sándor, Type: Simple AI
Game 586: Winner: Gergő, Type: Random AI
Game 587: Winner: Gergő, Type: Random AI
Game 588: Winner: Gergő, Type: Random AI
Game 589: Winner: Gergő, Type: Random AI
Game 590: Winner: Sándor, Type: Simple AI
Game 591: Winner: Gergő, Type: Random AI
Game 592: Winner: Gergő, Type: Random AI
Game 593: Winner: Gergő, Type: Random AI
Game 594: Winner: Sándor, Type: Simple AI
Game 595: Winner: Gergő, Type: Random AI
Game 596: Winner: Sándor, Type: Simple AI
Game 597: Winner: Sándor, Type: Simple AI
Game 598: Winner: Sándor, Type: Simple AI
Game 599: Winner: Gergő, Type: Random AI
Game 600: Winner: Sándor, Type: Simple AI
Game 601: Winner: Gergő, Type: Random AI
Game 602: Winner: Sándor, Type: Simple AI
Game 603: Winner: Sándor, Type: Simple AI
Game 604: Winner: Sándor, Type: Simple AI
Game 605: Winner: Sándor, Type: Simple AI
Game 606: Winner: Gergő, Type: Random AI
Game 607: Winner: Gergő, Type: Random AI
Game 608: Winner: Gergő, Type: Random AI
