Players:
Tibor (Random AI) 
Teodóra (Simple AI) 

Results:
Tibor (Random AI) won 500 games (50%)
Teodóra (Simple AI) won 500 games (50%)

Games:
Game 344: Winner: Tibor, Type: Random AI
Game 345: Winner: Teodóra, Type: Simple AI
Game 346: Winner: Tibor, Type: Random AI
Game 347: Winner: Tibor, Type: Random AI
Game 348: Winner: Tibor, Type: Random AI
Game 349: Winner: Tibor, Type: Random AI
Game 350: Winner: Tibor, Type: Random AI
Game 351: Winner: Teodóra, Type: Simple AI
Game 352: Winner: Tibor, Type: Random AI
Game 353: Winner: Tibor, Type: Random AI
Game 354: Winner: Teodóra, Type: Simple AI
Game 355: Winner: Teodóra, Type: Simple AI
Game 356: Winner: Tibor, Type: Random AI
Game 357: Winner: Teodóra, Type: Simple AI
Game 358: Winner: Tibor, Type: Random AI
Game 359: Winner: Tibor, Type: Random AI
Game 360: Winner: Teodóra, Type: Simple AI
Game 361: Winner: Tibor, Type: Random AI
Game 362: Winner: Tibor, Type: Random AI
Game 363: Winner: Teodóra, Type: Simple AI
Game 364: Winner: Teodóra, Type: Simple AI
Game 365: Winner: Teodóra, Type: Simple AI
Game 366: Winner: Tibor, Type: Random AI
Game 367: Winner: Teodóra, Type: Simple AI
Game 368: Winner: Teodóra, Type: Simple AI
Game 369: Winner: Teodóra, Type: Simple AI
Game 370: Winner: Teodóra, Type: Simple AI
Game 371: Winner: Teodóra, Type: Simple AI
Game 372: Winner: Teodóra, Type: Simple AI
Game 373: Winner: Teodóra, Type: Simple AI
Game 374: Winner: Teodóra, Type: Simple AI
Game 375: Winner: Tibor, Type: Random AI
Game 376: Winner: Tibor, Type: Random AI
Game 377: Winner: Teodóra, Type: Simple AI
Game 378: Winner: Tibor, Type: Random AI
Game 379: Winner: Teodóra, Type: Simple AI
Game 380: Winner: Teodóra, Type: Simple AI
Game 381: Winner: Tibor, Type: Random AI
Game 382: Winner: Tibor, Type: Random AI
Game 383: Winner: Tibor, Type: Random AI
Game 384: Winner: Tibor, Type: Random AI
Game 385: Winner: Teodóra, Type: Simple AI
Game 386: Winner: Tibor, Type: Random AI
Game 387: Winner: Tibor, Type: Random AI
Game 388: Winner: Tibor, Type: Random AI
Game 389: Winner: Teodóra, Type: Simple AI
Game 390: Winner: Teodóra, Type: Simple AI
Game 391: Winner: Teodóra, Type: Simple AI
Game 392: Winner: Tibor, Type: Random AI
Game 393: Winner: Tibor, Type: Random AI
Game 394: Winner: Tibor, Type: Random AI
Game 395: Winner: Tibor, Type: Random AI
Game 396: Winner: Tibor, Type: Random AI
Game 397: Winner: Tibor, Type: Random AI
Game 398: Winner: Tibor, Type: Random AI
Game 399: Winner: Tibor, Type: Random AI
Game 400: Winner: Tibor, Type: Random AI
Game 401: Winner: Teodóra, Type: Simple AI
Game 402: Winner: Tibor, Type: Random AI
Game 403: Winner: Tibor, Type: Random AI
Game 404: Winner: Tibor, Type: Random AI
Game 405: Winner: Tibor, Type: Random AI
Game 406: Winner: Tibor, Type: Random AI
Game 407: Winner: Tibor, Type: Random AI
Game 408: Winner: Tibor, Type: Random AI
Game 409: Winner: Tibor, Type: Random AI
Game 410: Winner: Teodóra, Type: Simple AI
Game 411: Winner: Teodóra, Type: Simple AI
Game 412: Winner: Teodóra, Type: Simple AI
Game 413: Winner: Tibor, Type: Random AI
Game 414: Winner: Tibor, Type: Random AI
Game 415: Winner: Teodóra, Type: Simple AI
Game 416: Winner: Teodóra, Type: Simple AI
Game 417: Winner: Teodóra, Type: Simple AI
Game 418: Winner: Tibor, Type: Random AI
Game 419: Winner: Teodóra, Type: Simple AI
Game 420: Winner: Teodóra, Type: Simple AI
Game 421: Winner: Teodóra, Type: Simple AI
Game 422: Winner: Tibor, Type: Random AI
Game 423: Winner: Teodóra, Type: Simple AI
Game 424: Winner: Teodóra, Type: Simple AI
Game 425: Winner: Tibor, Type: Random AI
Game 426: Winner: Teodóra, Type: Simple AI
Game 427: Winner: Teodóra, Type: Simple AI
Game 428: Winner: Tibor, Type: Random AI
Game 429: Winner: Tibor, Type: Random AI
Game 430: Winner: Tibor, Type: Random AI
Game 431: Winner: Tibor, Type: Random AI
Game 432: Winner: Teodóra, Type: Simple AI
Game 433: Winner: Teodóra, Type: Simple AI
Game 434: Winner: Teodóra, Type: Simple AI
Game 435: Winner: Tibor, Type: Random AI
Game 436: Winner: Tibor, Type: Random AI
Game 437: Winner: Tibor, Type: Random AI
Game 438: Winner: Tibor, Type: Random AI
Game 439: Winner: Teodóra, Type: Simple AI
Game 440: Winner: Teodóra, Type: Simple AI
Game 441: Winner: Tibor, Type: Random AI
Game 442: Winner: Teodóra, Type: Simple AI
Game 443: Winner: Teodóra, Type: Simple AI
Game 444: Winner: Teodóra, Type: Simple AI
Game 445: Winner: Tibor, Type: Random AI
Game 446: Winner: Teodóra, Type: Simple AI
Game 447: Winner: Teodóra, Type: Simple AI
Game 448: Winner: Teodóra, Type: Simple AI
Game 449: Winner: Teodóra, Type: Simple AI
Game 450: Winner: Teodóra, Type: Simple AI
Game 451: Winner: Teodóra, Type: Simple AI
Game 452: Winner: Tibor, Type: Random AI
Game 453: Winner: Teodóra, Type: Simple AI
Game 454: Winner: Tibor, Type: Random AI
Game 455: Winner: Tibor, Type: Random AI
Game 456: Winner: Tibor, Type: Random AI
Game 457: Winner: Teodóra, Type: Simple AI
Game 458: Winner: Teodóra, Type: Simple AI
Game 459: Winner: Teodóra, Type: Simple AI
Game 460: Winner: Teodóra, Type: Simple AI
Game 461: Winner: Teodóra, Type: Simple AI
Game 462: Winner: Tibor, Type: Random AI
Game 463: Winner: Tibor, Type: Random AI
Game 464: Winner: Tibor, Type: Random AI
Game 465: Winner: Tibor, Type: Random AI
Game 466: Winner: Tibor, Type: Random AI
Game 467: Winner: Tibor, Type: Random AI
Game 468: Winner: Teodóra, Type: Simple AI
Game 469: Winner: Tibor, Type: Random AI
Game 470: Winner: Tibor, Type: Random AI
Game 471: Winner: Tibor, Type: Random AI
Game 472: Winner: Teodóra, Type: Simple AI
Game 473: Winner: Tibor, Type: Random AI
Game 474: Winner: Teodóra, Type: Simple AI
Game 475: Winner: Tibor, Type: Random AI
Game 476: Winner: Teodóra, Type: Simple AI
Game 477: Winner: Teodóra, Type: Simple AI
Game 478: Winner: Teodóra, Type: Simple AI
Game 479: Winner: Tibor, Type: Random AI
Game 480: Winner: Tibor, Type: Random AI
Game 481: Winner: Tibor, Type: Random AI
Game 482: Winner: Tibor, Type: Random AI
Game 483: Winner: Teodóra, Type: Simple AI
Game 484: Winner: Tibor, Type: Random AI
Game 485: Winner: Tibor, Type: Random AI
Game 486: Winner: Tibor, Type: Random AI
Game 487: Winner: Teodóra, Type: Simple AI
Game 488: Winner: Teodóra, Type: Simple AI
