Players:
Ilona (Random AI) 
Áron (Simple AI) 

Results:
Áron (Simple AI) won 493 games (49,3%)
Ilona (Random AI) won 507 games (50,7%)

Game 346: Winner: Áron, Type: Simple AI
Game 347: Winner: Áron, Type: Simple AI
Game 348: Winner: Áron, Type: Simple AI
Game 349: Winner: Áron, Type: Simple AI
Game 350: Winner: Áron, Type: Simple AI
Game 351: Winner: Áron, Type: Simple AI
Game 352: Winner: Ilona, Type: Random AI
Game 353: Winner: Ilona, Type: Random AI
Game 354: Winner: Ilona, Type: Random AI
Game 355: Winner: Áron, Type: Simple AI
Game 356: Winner: Áron, Type: Simple AI
Game 357: Winner: Ilona, Type: Random AI
Game 358: Winner: Ilona, Type: Random AI
Game 359: Winner: Áron, Type: Simple AI
Game 360: Winner: Ilona, Type: Random AI
Game 361: Winner: Ilona, Type: Random AI
Game 362: Winner: Áron, Type: Simple AI
Game 363: Winner: Ilona, Type: Random AI
Game 364: Winner: Áron, Type: Simple AI
Game 365: Winner: Ilona, Type: Random AI
Game 366: Winner: Ilona, Type: Random AI
Game 367: Winner: Áron, Type: Simple AI
Game 368: Winner: Ilona, Type: Random AI
Game 369: Winner: Áron, Type: Simple AI
Game 370: Winner: Áron, Type: Simple AI
Game 371: Winner: Áron, Type: Simple AI
Game 372: Winner: Ilona, Type: Random AI
Game 373: Winner: Ilona, Type: Random AI
Game 374: Winner: Áron, Type: Simple AI
Game 375: Winner: Áron, Type: Simple AI
Game 376: Winner: Ilona, Type: Random AI
Game 377: Winner: Áron, Type: Simple AI
Game 378: Winner: Ilona, Type: Random AI
Game 379: Winner: Ilona, Type: Random AI
Game 380: Winner: Ilona, Type: Random AI
Game 381: Winner: Áron, Type: Simple AI
Game 382: Winner: Áron, Type: Simple AI
Game 383: Winner: Ilona, Type: Random AI
Game 384: Winner: Ilona, Type: Random AI
Game 385: Winner: Ilona, Type: Random AI
Game 386: Winner: Ilona, Type: Random AI
Game 387: Winner: Áron, Type: Simple AI
Game 388: Winner: Áron, Type: Simple AI
Game 389: Winner: Ilona, Type: Random AI
Game 390: Winner: Ilona, Type: Random AI
Game 391: Winner: Áron, Type: Simple AI
Game 392: Winner: Ilona, Type: Random AI
Game 393: Winner: Áron, Type: Simple AI
Game 394: Winner: Ilona, Type: Random AI
Game 395: Winner: Áron, Type: Simple AI
Game 396: Winner: Ilona, Type: Random AI
Game 397: Winner: Ilona, Type: Random AI
Game 398: Winner: Ilona, Type: Random AI
Game 399: Winner: Ilona, Type: Random AI
Game 400: Winner: Áron, Type: Simple AI
Game 401: Winner: Ilona, Type: Random AI
Game 402: Winner: Áron, Type: Simple AI
Game 403: Winner: Ilona, Type: Random AI
Game 404: Winner: Áron, Type: Simple AI
Game 405: Winner: Ilona, Type: Random AI
Game 406: Winner: Ilona, Type: Random AI
Game 407: Winner: Ilona, Type: Random AI
Game 408: Winner: Áron, Type: Simple AI
Game 409: Winner: Áron, Type: Simple AI
Game 410: Winner: Ilona, Type: Random AI
Game 411: Winner: Áron, Type: Simple AI
Game 412: Winner: Áron, Type: Simple AI
Game 413: Winner: Áron, Type: Simple AI
Game 414: Winner: Áron, Type: Simple AI
Game 415: Winner: Ilona, Type: Random AI
Game 416: Winner: Ilona, Type: Random AI
Game 417: Winner: Áron, Type: Simple AI
Game 418: Winner: Áron, Type: Simple AI
Game 419: Winner: Áron, Type: Simple AI
Game 420: Winner: Áron, Type: Simple AI
Game 421: Winner: Áron, Type: Simple AI
Game 422: Winner: Ilona, Type: Random AI
Game 423: Winner: Áron, Type: Simple AI
Game 424: Winner: Ilona, Type: Random AI
Game 425: Winner: Ilona, Type: Random AI
Game 426: Winner: Ilona, Type: Random AI
Game 427: Winner: Ilona, Type: Random AI
Game 428: Winner: Áron, Type: Simple AI
Game 429: Winner: Áron, Type: Simple AI
Game 430: Winner: Ilona, Type: Random AI
Game 431: Winner: Áron, Type: Simple AI
Game 432: Winner: Áron, Type: Simple AI
Game 433: Winner: Ilona, Type: Random AI
Game 434: Winner: Ilona, Type: Random AI
Game 435: Winner: Ilona, Type: Random AI
