Players:
Mária (Random AI) 
Ilona (Simple AI) 

Results:
Ilona (Simple AI) won 344 games (68,8%)
Mária (Random AI) won 156 games (31,2%)

Game 431: Winner: Ilona, Type: Simple AI
Game 432: Winner: Mária, Type: Random AI
Game 433: Winner: Ilona, Type: Simple AI
Game 434: Winner: Ilona, Type: Simple AI
Game 435: Winner: Mária, Type: Random AI
Game 436: Winner: Ilona, Type: Simple AI
Game 437: Winner: Mária, Type: Random AI
Game 438: Winner: Ilona, Type: Simple AI
Game 439: Winner: Mária, Type: Random AI
Game 440: Winner: Mária, Type: Random AI
Game 441: Winner: Ilona, Type: Simple AI
Game 442: Winner: Mária, Type: Random AI
Game 443: Winner: Ilona, Type: Simple AI
Game 444: Winner: Ilona, Type: Simple AI
Game 445: Winner: Mária, Type: Random AI
Game 446: Winner: Ilona, Type: Simple AI
Game 447: Winner: Mária, Type: Random AI
Game 448: Winner: Mária, Type: Random AI
Game 449: Winner: Ilona, Type: Simple AI
Game 450: Winner: Ilona, Type: Simple AI
Game 451: Winner: Ilona, Type: Simple AI
Game 452: Winner: Mária, Type: Random AI
Game 453: Winner: Ilona, Type: Simple AI
Game 454: Winner: Ilona, Type: Simple AI
Game 455: Winner: Ilona, Type: Simple AI
Game 456: Winner: Ilona, Type: Simple AI
Game 457: Winner: Ilona, Type: Simple AI
Game 458: Winner: Ilona, Type: Simple AI
Game 459: Winner: Ilona, Type: Simple AI
Game 460: Winner: Ilona, Type: Simple AI
Game 461: Winner: Ilona, Type: Simple AI
Game 462: Winner: Mária, Type: Random AI
Game 463: Winner: Mária, Type: Random AI
Game 464: Winner: Ilona, Type: Simple AI
Game 465: Winner: Ilona, Type: Simple AI
Game 466: Winner: Ilona, Type: Simple AI
Game 467: Winner: Mária, Type: Random AI
Game 468: Winner: Ilona, Type: Simple AI
Game 469: Winner: Ilona, Type: Simple AI
Game 470: Winner: Ilona, Type: Simple AI
Game 471: Winner: Mária, Type: Random AI
Game 472: Winner: Mária, Type: Random AI
Game 473: Winner: Ilona, Type: Simple AI
Game 474: Winner: Ilona, Type: Simple AI
Game 475: Winner: Ilona, Type: Simple AI
Game 476: Winner: Ilona, Type: Simple AI
Game 477: Winner: Mária, Type: Random AI
Game 478: Winner: Mária, Type: Random AI
Game 479: Winner: Ilona, Type: Simple AI
Game 480: Winner: Ilona, Type: Simple AI
Game 481: Winner: Mária, Type: Random AI
Game 482: Winner: Mária, Type: Random AI
Game 483: Winner: Mária, Type: Random AI
Game 484: Winner: Mária, Type: Random AI
Game 485: Winner: Ilona, Type: Simple AI
Game 486: Winner: Mária, Type: Random AI
Game 487: Winner: Ilona, Type: Simple AI
Game 488: Winner: Ilona, Type: Simple AI
Game 489: Winner: Mária, Type: Random AI
Game 490: Winner: Ilona, Type: Simple AI
Game 491: Winner: Ilona, Type: Simple AI
Game 492: Winner: Mária, Type: Random AI
Game 493: Winner: Ilona, Type: Simple AI
Game 494: Winner: Ilona, Type: Simple AI
Game 495: Winner: Ilona, Type: Simple AI
Game 496: Winner: Ilona, Type: Simple AI
Game 497: Winner: Ilona, Type: Simple AI
Game 498: Winner: Mária, Type: Random AI
Game 499: Winner: Ilona, Type: Simple AI
