Players:
Ilona (Random AI) 
Anett (Simple AI) 
Elemér (Simple AI) 

Results:
Elemér (Simple AI) won 97 games (32,3333333333333%)
Game 277: Winner: Elemér, Type: Simple AI
Game 278: Winner: Elemér, Type: Simple AI
Game 279: Winner: Elemér, Type: Simple AI
Game 280: Winner: Anett, Type: Simple AI
Game 281: Winner: Anett, Type: Simple AI
Game 282: Winner: Elemér, Type: Simple AI
Game 283: Winner: Ilona, Type: Random AI
Game 284: Winner: Ilona, Type: Random AI
Game 285: Winner: Anett, Type: Simple AI
Game 286: Winner: Elemér, Type: Simple AI
Game 287: Winner: Elemér, Type: Simple AI
Game 288: Winner: Anett, Type: Simple AI
Game 289: Winner: Elemér, Type: Simple AI
Game 290: Winner: Elemér, Type: Simple AI
Game 291: Winner: Anett, Type: Simple AI
Game 292: Winner: Anett, Type: Simple AI
Game 293: Winner: Elemér, Type: Simple AI
Game 294: Winner: Ilona, Type: Random AI
Game 295: Winner: Elemér, Type: Simple AI
Game 296: Winner: Ilona, Type: Random AI
Game 297: Winner: Elemér, Type: Simple AI
Game 298: Winner: Ilona, Type: Random AI
Game 299: Winner: Elemér, Type: Simple AI
