Players:
Ilona (Random AI) 
Anett (Simple AI) 

Results:
Anett (Simple AI) won 309 games (61,8%)
Ilona (Random AI) won 191 games (38,2%)

Game 310: Winner: Anett, Type: Simple AI
Game 311: Winner: Anett, Type: Simple AI
Game 312: Winner: Anett, Type: Simple AI
Game 313: Winner: Ilona, Type: Random AI
Game 314: Winner: Ilona, Type: Random AI
Game 315: Winner: Ilona, Type: Random AI
Game 316: Winner: Anett, Type: Simple AI
Game 317: Winner: Anett, Type: Simple AI
Game 318: Winner: Anett, Type: Simple AI
Game 319: Winner: Ilona, Type: Random AI
Game 320: Winner: Anett, Type: Simple AI
Game 321: Winner: Ilona, Type: Random AI
Game 322: Winner: Anett, Type: Simple AI
Game 323: Winner: Anett, Type: Simple AI
Game 324: Winner: Ilona, Type: Random AI
Game 325: Winner: Anett, Type: Simple AI
Game 326: Winner: Ilona, Type: Random AI
Game 327: Winner: Ilona, Type: Random AI
Game 328: Winner: Anett, Type: Simple AI
Game 329: Winner: Ilona, Type: Random AI
Game 330: Winner: Anett, Type: Simple AI
Game 331: Winner: Ilona, Type: Random AI
Game 332: Winner: Anett, Type: Simple AI
Game 333: Winner: Anett, Type: Simple AI
Game 334: Winner: Anett, Type: Simple AI
Game 335: Winner: Ilona, Type: Random AI
Game 336: Winner: Anett, Type: Simple AI
Game 337: Winner: Ilona, Type: Random AI
Game 338: Winner: Ilona, Type: Random AI
Game 339: Winner: Anett, Type: Simple AI
Game 340: Winner: Anett, Type: Simple AI
Game 341: Winner: Ilona, Type: Random AI
Game 342: Winner: Anett, Type: Simple AI
Game 343: Winner: Anett, Type: Simple AI
Game 344: Winner: Ilona, Type: Random AI
Game 345: Winner: Ilona, Type: Random AI
Game 346: Winner: Anett, Type: Simple AI
Game 347: Winner: Ilona, Type: Random AI
Game 348: Winner: Anett, Type: Simple AI
Game 349: Winner: Anett, Type: Simple AI
Game 350: Winner: Ilona, Type: Random AI
Game 351: Winner: Anett, Type: Simple AI
Game 352: Winner: Ilona, Type: Random AI
Game 353: Winner: Ilona, Type: Random AI
Game 354: Winner: Ilona, Type: Random AI
Game 355: Winner: Anett, Type: Simple AI
Game 356: Winner: Ilona, Type: Random AI
Game 357: Winner: Ilona, Type: Random AI
Game 358: Winner: Anett, Type: Simple AI
Game 359: Winner: Anett, Type: Simple AI
Game 360: Winner: Ilona, Type: Random AI
Game 361: Winner: Anett, Type: Simple AI
Game 362: Winner: Ilona, Type: Random AI
Game 363: Winner: Ilona, Type: Random AI
Game 364: Winner: Anett, Type: Simple AI
Game 365: Winner: Anett, Type: Simple AI
Game 366: Winner: Ilona, Type: Random AI
Game 367: Winner: Anett, Type: Simple AI
Game 368: Winner: Anett, Type: Simple AI
Game 369: Winner: Ilona, Type: Random AI
Game 370: Winner: Anett, Type: Simple AI
Game 371: Winner: Ilona, Type: Random AI
Game 372: Winner: Anett, Type: Simple AI
Game 373: Winner: Anett, Type: Simple AI
Game 374: Winner: Anett, Type: Simple AI
Game 375: Winner: Ilona, Type: Random AI
Game 376: Winner: Anett, Type: Simple AI
Game 377: Winner: Anett, Type: Simple AI
Game 378: Winner: Anett, Type: Simple AI
Game 379: Winner: Ilona, Type: Random AI
Game 380: Winner: Anett, Type: Simple AI
Game 381: Winner: Anett, Type: Simple AI
Game 382: Winner: Anett, Type: Simple AI
Game 383: Winner: Ilona, Type: Random AI
Game 384: Winner: Ilona, Type: Random AI
Game 385: Winner: Ilona, Type: Random AI
Game 386: Winner: Ilona, Type: Random AI
Game 387: Winner: Anett, Type: Simple AI
Game 388: Winner: Anett, Type: Simple AI
Game 389: Winner: Anett, Type: Simple AI
Game 390: Winner: Anett, Type: Simple AI
Game 391: Winner: Ilona, Type: Random AI
Game 392: Winner: Anett, Type: Simple AI
Game 393: Winner: Ilona, Type: Random AI
Game 394: Winner: Anett, Type: Simple AI
Game 395: Winner: Anett, Type: Simple AI
Game 396: Winner: Ilona, Type: Random AI
Game 397: Winner: Anett, Type: Simple AI
Game 398: Winner: Ilona, Type: Random AI
Game 399: Winner: Ilona, Type: Random AI
Game 400: Winner: Anett, Type: Simple AI
Game 401: Winner: Anett, Type: Simple AI
Game 402: Winner: Ilona, Type: Random AI
Game 403: Winner: Ilona, Type: Random AI
Game 404: Winner: Ilona, Type: Random AI
Game 405: Winner: Anett, Type: Simple AI
Game 406: Winner: Ilona, Type: Random AI
Game 407: Winner: Ilona, Type: Random AI
Game 408: Winner: Anett, Type: Simple AI
Game 409: Winner: Ilona, Type: Random AI
